"HPI for states (All-Transactions Index)
Experimental Indexes Showing Cumulative (Nominal) Annual Appreciation",,,,,,,,
,,,,,,,,
"* These annual state indexes should be considered developmental. As with the standard FHFA HPIs, revisions to these indexes may reflect the impact of new data or technical adjustments. Indexes are calibrated using appraisal values and sales prices for mortgages bought or guaranteed by Fannie Mae and Freddie Mac. In cases where sample sizes are small for the state, an index is either not reported if recording has not started or a missing value is reported with a period ("".""). Index values always reflect only that native state, i.e. they are not made with data from another area or year. Three HPI values are provided and, since the indexes reflect cumulative appreciation since a certain period, the values reflect the base year being used (annual appreciations are the same). Column A is the state name, Column B is the state abbreviation, Column C is the state FIPS code, Column D is the year, Column E is the annual change, Column F is the index value with a base of 100 when first recorded, Column G is the index value with a base of 100 in 1990, and Column H is the index value with a base of 100 in 2000. If a state HPI has a missing value in Column F in 1990 or 2000 then the state HPI will have blank values in Column G or H, respectively.",,,,,,,,
"** For tracking and feedback purposes, please cite one of the associated papers. Three FHFA working papers (WP 16-01, WP 16-02, and WP 16-04) discuss different aspects of the data and each have been published by journals. A suggested citation is: Bogin, Alexander N., Doerner, William M. and Larson, William D. (2019). ""Local House Price Dynamics: New Indices and Stylized Facts"". Real Estate Economics, volume 47, issue 2, pages 365-398. The initial FHFA WP 16-01 is accessible at http://www.fhfa.gov/papers/wp1601.aspx.",,,,,,,,
"Last updated: March 24, 2022.",,,,,,,,
Not Seasonally Adjusted (NSA) ,,,,,,,,
State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
Iowa,IA,19,2009,-0.51,368.42,195.54,125.53,
Iowa,IA,19,2010,-1.02,364.64,193.54,124.24,
Iowa,IA,19,2011,-0.58,362.53,192.41,123.52,
Iowa,IA,19,2012,0.46,364.18,193.29,124.08,
Iowa,IA,19,2013,1.32,369.00,195.85,125.73,
Iowa,IA,19,2014,2.36,377.72,200.48,128.70,
Iowa,IA,19,2015,2.63,387.66,205.75,132.09,
Iowa,IA,19,2016,3.42,400.93,212.79,136.61,
Iowa,IA,19,2017,3.82,416.24,220.92,141.82,
Iowa,IA,19,2018,3.66,431.49,229.01,147.02,
Iowa,IA,19,2019,3.06,444.67,236.01,151.51,
Iowa,IA,19,2020,1.61,451.85,239.82,153.95,
Iowa,IA,19,2021,7.90,487.54,258.76,166.12,
Kansas,KS,20,1975,.,100.00,53.64,36.06,
Kansas,KS,20,1976,7.92,107.92,57.89,38.92,
Kansas,KS,20,1977,12.00,120.87,64.84,43.59,
Kansas,KS,20,1978,12.01,135.39,72.62,48.83,
Kansas,KS,20,1979,10.24,149.26,80.06,53.83,
Kansas,KS,20,1980,6.82,159.43,85.52,57.50,
Kansas,KS,20,1981,1.94,162.52,87.18,58.61,
Kansas,KS,20,1982,2.20,166.10,89.10,59.90,
Kansas,KS,20,1983,2.82,170.78,91.61,61.59,
Kansas,KS,20,1984,0.68,171.93,92.23,62.00,
Kansas,KS,20,1985,0.53,172.84,92.71,62.33,
Kansas,KS,20,1986,3.14,178.28,95.63,64.29,
Kansas,KS,20,1987,1.99,181.82,97.53,65.57,
Kansas,KS,20,1988,0.92,183.50,98.43,66.17,
Kansas,KS,20,1989,1.41,186.08,99.82,67.11,
Kansas,KS,20,1990,0.18,186.42,100.00,67.23,
Kansas,KS,20,1991,0.93,188.17,100.93,67.86,
Kansas,KS,20,1992,1.90,191.73,102.85,69.14,
Kansas,KS,20,1993,2.66,196.83,105.58,70.98,
Kansas,KS,20,1994,5.58,207.81,111.47,74.94,
Kansas,KS,20,1995,6.44,221.21,118.66,79.77,
Kansas,KS,20,1996,3.93,229.90,123.32,82.91,
Kansas,KS,20,1997,4.40,240.00,128.74,86.55,
Kansas,KS,20,1998,4.08,249.80,134.00,90.08,
Kansas,KS,20,1999,4.81,261.81,140.44,94.42,
Kansas,KS,20,2000,5.91,277.29,148.74,100.00,
Kansas,KS,20,2001,4.75,290.47,155.81,104.75,
Kansas,KS,20,2002,3.45,300.48,161.18,108.36,
Kansas,KS,20,2003,1.95,306.33,164.32,110.47,
Kansas,KS,20,2004,3.95,318.42,170.81,114.83,
Kansas,KS,20,2005,4.37,332.35,178.28,119.85,
Kansas,KS,20,2006,3.33,343.42,184.21,123.85,
Kansas,KS,20,2007,2.18,350.91,188.23,126.55,
Kansas,KS,20,2008,-0.23,350.12,187.81,126.26,
Kansas,KS,20,2009,-1.20,345.92,185.55,124.75,
Kansas,KS,20,2010,-1.13,341.99,183.45,123.33,
Kansas,KS,20,2011,-1.72,336.12,180.30,121.21,
Kansas,KS,20,2012,-0.48,334.49,179.43,120.63,
Kansas,KS,20,2013,0.92,337.58,181.08,121.74,
Kansas,KS,20,2014,2.80,347.04,186.16,125.15,
Kansas,KS,20,2015,3.07,357.70,191.87,129.00,
Kansas,KS,20,2016,3.99,371.97,199.53,134.14,
Kansas,KS,20,2017,4.40,388.35,208.31,140.05,
Kansas,KS,20,2018,5.01,407.79,218.74,147.06,
Kansas,KS,20,2019,3.86,423.53,227.19,152.74,
Kansas,KS,20,2020,3.74,439.35,235.67,158.44,
Kansas,KS,20,2021,10.32,484.71,260.00,174.80,
Kentucky,KY,21,1975,.,100.00,46.17,30.99,
Kentucky,KY,21,1976,4.04,104.04,48.04,32.24,
Kentucky,KY,21,1977,9.18,113.59,52.45,35.20,
Kentucky,KY,21,1978,15.25,130.91,60.44,40.57,
Kentucky,KY,21,1979,12.32,147.04,67.89,45.57,
Kentucky,KY,21,1980,5.16,154.63,71.40,47.92,
Kentucky,KY,21,1981,2.56,158.59,73.22,49.14,
Kentucky,KY,21,1982,2.14,161.98,74.79,50.20,
Kentucky,KY,21,1983,2.99,166.82,77.02,51.69,
Kentucky,KY,21,1984,2.01,170.18,78.57,52.73,
Kentucky,KY,21,1985,3.20,175.62,81.08,54.42,
Kentucky,KY,21,1986,3.75,182.20,84.13,56.46,
Kentucky,KY,21,1987,4.18,189.82,87.64,58.82,
Kentucky,KY,21,1988,6.13,201.46,93.01,62.43,
Kentucky,KY,21,1989,4.73,210.99,97.42,65.38,
Kentucky,KY,21,1990,2.65,216.59,100.00,67.12,
Kentucky,KY,21,1991,2.77,222.59,102.77,68.98,
Kentucky,KY,21,1992,2.69,228.58,105.54,70.83,
Kentucky,KY,21,1993,3.15,235.77,108.86,73.06,
Kentucky,KY,21,1994,5.28,248.21,114.60,76.92,
Kentucky,KY,21,1995,6.07,263.27,121.55,81.58,
Kentucky,KY,21,1996,3.89,273.51,126.28,84.76,
Kentucky,KY,21,1997,4.33,285.35,131.75,88.42,
Kentucky,KY,21,1998,3.54,295.46,136.42,91.56,
Kentucky,KY,21,1999,4.01,307.32,141.89,95.23,
Kentucky,KY,21,2000,5.01,322.70,148.99,100.00,
Kentucky,KY,21,2001,4.12,335.99,155.13,104.12,
Kentucky,KY,21,2002,2.57,344.62,159.12,106.79,
Kentucky,KY,21,2003,2.39,352.86,162.92,109.35,
Kentucky,KY,21,2004,4.25,367.86,169.84,113.99,
Kentucky,KY,21,2005,5.08,386.55,178.47,119.78,
Kentucky,KY,21,2006,3.26,399.14,184.28,123.69,
Kentucky,KY,21,2007,2.01,407.15,187.98,126.17,
Kentucky,KY,21,2008,0.49,409.14,188.90,126.78,
Kentucky,KY,21,2009,-1.49,403.03,186.08,124.89,
Kentucky,KY,21,2010,-1.36,397.53,183.54,123.19,
Kentucky,KY,21,2011,-1.51,391.53,180.77,121.33,
Kentucky,KY,21,2012,-0.09,391.18,180.61,121.22,
Kentucky,KY,21,2013,0.57,393.41,181.64,121.91,
Kentucky,KY,21,2014,1.72,400.16,184.76,124.00,
Kentucky,KY,21,2015,2.92,411.86,190.16,127.63,
Kentucky,KY,21,2016,3.81,427.56,197.41,132.49,
Kentucky,KY,21,2017,4.75,447.86,206.78,138.78,
Kentucky,KY,21,2018,4.40,467.59,215.89,144.90,
Kentucky,KY,21,2019,3.99,486.23,224.50,150.67,
Kentucky,KY,21,2020,3.44,502.95,232.22,155.85,
Kentucky,KY,21,2021,10.08,553.66,255.63,171.57,
Louisiana,LA,22,1975,.,100.00,52.59,34.51,
Louisiana,LA,22,1976,9.91,109.91,57.81,37.93,
Louisiana,LA,22,1977,10.47,121.42,63.86,41.90,
Louisiana,LA,22,1978,16.30,141.21,74.27,48.73,
Louisiana,LA,22,1979,22.39,172.83,90.90,59.65,
Louisiana,LA,22,1980,8.72,187.91,98.83,64.85,
Louisiana,LA,22,1981,10.63,207.89,109.34,71.74,
Louisiana,LA,22,1982,3.27,214.69,112.91,74.09,
Louisiana,LA,22,1983,0.91,216.64,113.94,74.76,
Louisiana,LA,22,1984,0.28,217.24,114.26,74.97,
Louisiana,LA,22,1985,-3.17,210.35,110.63,72.59,
Louisiana,LA,22,1986,-1.26,207.71,109.24,71.68,
Louisiana,LA,22,1987,-4.00,199.41,104.88,68.82,
Louisiana,LA,22,1988,-6.62,186.20,97.93,64.26,
Louisiana,LA,22,1989,0.74,187.57,98.65,64.73,
Louisiana,LA,22,1990,1.37,190.13,100.00,65.62,
Louisiana,LA,22,1991,2.83,195.52,102.83,67.48,
Louisiana,LA,22,1992,3.88,203.10,106.82,70.09,
Louisiana,LA,22,1993,4.40,212.04,111.52,73.18,
Louisiana,LA,22,1994,5.79,224.32,117.98,77.41,
Louisiana,LA,22,1995,5.03,235.61,123.92,81.31,
Louisiana,LA,22,1996,4.47,246.14,129.46,84.94,
Louisiana,LA,22,1997,4.58,257.41,135.38,88.83,
Louisiana,LA,22,1998,4.17,268.13,141.02,92.53,
Louisiana,LA,22,1999,3.88,278.54,146.50,96.13,
Louisiana,LA,22,2000,4.03,289.77,152.40,100.00,
Louisiana,LA,22,2001,4.52,302.86,159.29,104.52,
Louisiana,LA,22,2002,3.24,312.68,164.45,107.91,
Louisiana,LA,22,2003,3.37,323.21,169.99,111.54,
Louisiana,LA,22,2004,5.12,339.76,178.69,117.25,
Louisiana,LA,22,2005,6.48,361.76,190.27,124.85,
Louisiana,LA,22,2006,10.90,401.19,211.00,138.45,
Louisiana,LA,22,2007,4.63,419.74,220.76,144.86,
Louisiana,LA,22,2008,0.17,420.45,221.13,145.10,
Louisiana,LA,22,2009,-1.31,414.96,218.25,143.21,
Louisiana,LA,22,2010,-1.58,408.39,214.79,140.94,
Louisiana,LA,22,2011,-1.20,403.50,212.22,139.25,
Louisiana,LA,22,2012,0.56,405.75,213.40,140.03,
Louisiana,LA,22,2013,1.27,410.89,216.10,141.80,
Louisiana,LA,22,2014,2.63,421.70,221.79,145.53,
Louisiana,LA,22,2015,3.12,434.85,228.71,150.07,
Louisiana,LA,22,2016,3.16,448.58,235.93,154.81,
Louisiana,LA,22,2017,2.46,459.62,241.73,158.62,
Louisiana,LA,22,2018,2.06,469.09,246.71,161.88,
Louisiana,LA,22,2019,2.23,479.54,252.21,165.49,
Louisiana,LA,22,2020,2.12,489.70,257.56,169.00,
Louisiana,LA,22,2021,5.71,517.67,272.26,178.65,
Maine,ME,23,1975,.,100.00,32.31,27.32,
Maine,ME,23,1976,-1.59,98.41,31.80,26.89,
Maine,ME,23,1977,15.86,114.02,36.84,31.15,
Maine,ME,23,1978,7.57,122.65,39.63,33.51,
Maine,ME,23,1979,10.90,136.03,43.95,37.16,
Maine,ME,23,1980,5.73,143.82,46.47,39.29,
Maine,ME,23,1981,8.62,156.22,50.47,42.68,
Maine,ME,23,1982,0.42,156.88,50.69,42.86,
Maine,ME,23,1983,5.98,166.27,53.72,45.43,
Maine,ME,23,1984,14.46,190.30,61.48,51.99,
Maine,ME,23,1985,10.79,210.84,68.12,57.60,
Maine,ME,23,1986,11.79,235.70,76.15,64.39,
Maine,ME,23,1987,13.16,266.71,86.17,72.87,
Maine,ME,23,1988,13.30,302.18,97.63,82.56,
Maine,ME,23,1989,4.59,316.06,102.12,86.35,
Maine,ME,23,1990,-2.07,309.51,100.00,84.56,
Maine,ME,23,1991,-3.23,299.50,96.77,81.83,
Maine,ME,23,1992,-0.88,296.86,95.91,81.10,
Maine,ME,23,1993,-1.59,292.13,94.38,79.81,
Maine,ME,23,1994,-1.10,288.93,93.35,78.94,
Maine,ME,23,1995,0.76,291.13,94.06,79.54,
Maine,ME,23,1996,2.55,298.57,96.47,81.57,
Maine,ME,23,1997,2.31,305.48,98.70,83.46,
Maine,ME,23,1998,3.73,316.87,102.38,86.57,
Maine,ME,23,1999,5.51,334.32,108.01,91.34,
Maine,ME,23,2000,9.48,366.02,118.26,100.00,
Maine,ME,23,2001,8.62,397.57,128.45,108.62,
Maine,ME,23,2002,8.38,430.89,139.22,117.72,
Maine,ME,23,2003,6.53,459.01,148.30,125.40,
Maine,ME,23,2004,11.55,512.04,165.44,139.89,
Maine,ME,23,2005,11.12,568.99,183.83,155.45,
Maine,ME,23,2006,4.08,592.22,191.34,161.80,
Maine,ME,23,2007,0.98,597.99,193.21,163.38,
Maine,ME,23,2008,-1.22,590.71,190.85,161.39,
Maine,ME,23,2009,-5.50,558.21,180.35,152.51,
Maine,ME,23,2010,-3.94,536.21,173.24,146.50,
Maine,ME,23,2011,-1.92,525.94,169.93,143.69,
Maine,ME,23,2012,-2.32,513.73,165.98,140.35,
Maine,ME,23,2013,0.75,517.59,167.23,141.41,
Maine,ME,23,2014,1.76,526.67,170.16,143.89,
Maine,ME,23,2015,2.49,539.81,174.41,147.48,
Maine,ME,23,2016,3.55,558.96,180.59,152.71,
Maine,ME,23,2017,5.08,587.35,189.77,160.47,
Maine,ME,23,2018,5.76,621.16,200.69,169.70,
Maine,ME,23,2019,4.73,650.51,210.17,177.72,
Maine,ME,23,2020,4.65,680.77,219.95,185.99,
Maine,ME,23,2021,14.16,777.13,251.08,212.32,
Maryland,MD,24,1975,.,100.00,32.34,27.19,
Maryland,MD,24,1976,8.78,108.78,35.18,29.58,
Maryland,MD,24,1977,6.37,115.71,37.42,31.46,
Maryland,MD,24,1978,13.28,131.07,42.39,35.64,
Maryland,MD,24,1979,13.14,148.29,47.96,40.32,
Maryland,MD,24,1980,9.51,162.40,52.52,44.16,
Maryland,MD,24,1981,7.93,175.28,56.68,47.66,
Maryland,MD,24,1982,-3.14,169.78,54.91,46.16,
Maryland,MD,24,1983,6.72,181.19,58.60,49.27,
Maryland,MD,24,1984,6.01,192.09,62.12,52.23,
Maryland,MD,24,1985,5.17,202.02,65.33,54.93,
Maryland,MD,24,1986,6.60,215.35,69.64,58.55,
Maryland,MD,24,1987,9.41,235.61,76.20,64.06,
Maryland,MD,24,1988,14.73,270.32,87.42,73.50,
Maryland,MD,24,1989,10.14,297.74,96.29,80.96,
Maryland,MD,24,1990,3.86,309.22,100.00,84.08,
Maryland,MD,24,1991,1.54,313.99,101.54,85.37,
Maryland,MD,24,1992,1.22,317.81,102.78,86.41,
Maryland,MD,24,1993,0.12,318.18,102.90,86.52,
Maryland,MD,24,1994,0.01,318.21,102.91,86.52,
Maryland,MD,24,1995,0.52,319.87,103.44,86.97,
Maryland,MD,24,1996,1.48,324.62,104.98,88.26,
Maryland,MD,24,1997,0.85,327.38,105.87,89.02,
Maryland,MD,24,1998,2.13,334.35,108.13,90.91,
Maryland,MD,24,1999,3.04,344.51,111.41,93.67,
Maryland,MD,24,2000,6.75,367.78,118.94,100.00,
Maryland,MD,24,2001,7.72,396.17,128.12,107.72,
Maryland,MD,24,2002,9.66,434.42,140.49,118.12,
Maryland,MD,24,2003,7.65,467.66,151.24,127.16,
Maryland,MD,24,2004,16.69,545.74,176.49,148.39,
Maryland,MD,24,2005,21.56,663.40,214.54,180.38,
Maryland,MD,24,2006,12.33,745.18,240.99,202.62,
Maryland,MD,24,2007,1.84,758.86,245.41,206.34,
Maryland,MD,24,2008,-5.98,713.45,230.72,193.99,
Maryland,MD,24,2009,-10.93,635.50,205.52,172.79,
Maryland,MD,24,2010,-5.27,601.98,194.68,163.68,
Maryland,MD,24,2011,-4.02,577.76,186.84,157.10,
Maryland,MD,24,2012,-1.70,567.94,183.67,154.43,
Maryland,MD,24,2013,1.61,577.11,186.63,156.92,
Maryland,MD,24,2014,3.33,596.35,192.86,162.15,
Maryland,MD,24,2015,2.23,609.62,197.15,165.76,
Maryland,MD,24,2016,2.61,625.54,202.30,170.09,
Maryland,MD,24,2017,2.89,643.61,208.14,175.00,
Maryland,MD,24,2018,2.89,662.20,214.15,180.05,
Maryland,MD,24,2019,2.83,680.92,220.20,185.14,
Maryland,MD,24,2020,2.55,698.26,225.81,189.86,
Maryland,MD,24,2021,9.44,764.20,247.14,207.79,
Massachusetts,MA,25,1975,.,100.00,24.64,18.06,
Massachusetts,MA,25,1976,6.12,106.12,26.15,19.17,
Massachusetts,MA,25,1977,3.23,109.55,26.99,19.79,
Massachusetts,MA,25,1978,11.36,122.00,30.06,22.04,
Massachusetts,MA,25,1979,13.68,138.68,34.17,25.05,
Massachusetts,MA,25,1980,12.58,156.13,38.47,28.20,
Massachusetts,MA,25,1981,17.18,182.95,45.08,33.05,
Massachusetts,MA,25,1982,5.26,192.56,47.45,34.78,
Massachusetts,MA,25,1983,6.74,205.54,50.65,37.13,
Massachusetts,MA,25,1984,21.73,250.19,61.65,45.19,
Massachusetts,MA,25,1985,20.13,300.55,74.06,54.29,
Massachusetts,MA,25,1986,17.69,353.71,87.15,63.89,
Massachusetts,MA,25,1987,12.06,396.37,97.67,71.60,
Massachusetts,MA,25,1988,6.33,421.44,103.84,76.13,
Massachusetts,MA,25,1989,0.49,423.50,104.35,76.50,
Massachusetts,MA,25,1990,-4.17,405.84,100.00,73.31,
Massachusetts,MA,25,1991,-5.90,381.91,94.10,68.99,
Massachusetts,MA,25,1992,-1.61,375.76,92.59,67.88,
Massachusetts,MA,25,1993,-0.88,372.44,91.77,67.27,
Massachusetts,MA,25,1994,0.52,374.39,92.25,67.63,
Massachusetts,MA,25,1995,2.28,382.93,94.36,69.17,
Massachusetts,MA,25,1996,3.25,395.39,97.43,71.42,
Massachusetts,MA,25,1997,4.44,412.94,101.75,74.59,
Massachusetts,MA,25,1998,5.96,437.56,107.82,79.04,
Massachusetts,MA,25,1999,8.56,475.03,117.05,85.81,
Massachusetts,MA,25,2000,16.54,553.61,136.41,100.00,
Massachusetts,MA,25,2001,11.01,614.59,151.44,111.01,
Massachusetts,MA,25,2002,10.55,679.45,167.42,122.73,
Massachusetts,MA,25,2003,7.55,730.72,180.05,131.99,
Massachusetts,MA,25,2004,10.35,806.38,198.69,145.66,
Massachusetts,MA,25,2005,9.78,885.21,218.12,159.90,
Massachusetts,MA,25,2006,1.00,894.08,220.30,161.50,
Massachusetts,MA,25,2007,-3.21,865.38,213.23,156.32,
Massachusetts,MA,25,2008,-4.80,823.83,202.99,148.81,
Massachusetts,MA,25,2009,-5.84,775.68,191.13,140.11,
Massachusetts,MA,25,2010,-2.38,757.25,186.59,136.78,
Massachusetts,MA,25,2011,-2.32,739.68,182.26,133.61,
Massachusetts,MA,25,2012,-1.22,730.68,180.04,131.99,
Massachusetts,MA,25,2013,1.87,744.37,183.42,134.46,
Massachusetts,MA,25,2014,5.25,783.45,193.04,141.52,
Massachusetts,MA,25,2015,3.58,811.48,199.95,146.58,
Massachusetts,MA,25,2016,4.91,851.29,209.76,153.77,
Massachusetts,MA,25,2017,5.64,899.35,221.60,162.45,
Massachusetts,MA,25,2018,5.38,947.71,233.52,171.19,
Massachusetts,MA,25,2019,4.07,986.32,243.03,178.16,
Massachusetts,MA,25,2020,3.10,1016.92,250.57,183.69,
Massachusetts,MA,25,2021,10.83,1127.02,277.70,203.58,
Michigan,MI,26,1975,.,100.00,42.30,25.27,
Michigan,MI,26,1976,2.90,102.90,43.53,26.00,
Michigan,MI,26,1977,9.64,112.81,47.72,28.50,
Michigan,MI,26,1978,15.90,130.75,55.31,33.03,
Michigan,MI,26,1979,18.74,155.25,65.68,39.23,
Michigan,MI,26,1980,6.37,165.14,69.86,41.72,
Michigan,MI,26,1981,4.08,171.87,72.71,43.43,
Michigan,MI,26,1982,-12.27,150.78,63.79,38.10,
Michigan,MI,26,1983,4.79,158.01,66.84,39.92,
Michigan,MI,26,1984,0.88,159.40,67.43,40.27,
Michigan,MI,26,1985,4.21,166.10,70.27,41.97,
Michigan,MI,26,1986,7.49,178.55,75.53,45.11,
Michigan,MI,26,1987,8.76,194.18,82.15,49.06,
Michigan,MI,26,1988,8.69,211.06,89.29,53.32,
Michigan,MI,26,1989,6.84,225.49,95.39,56.97,
Michigan,MI,26,1990,4.83,236.38,100.00,59.72,
Michigan,MI,26,1991,3.27,244.11,103.27,61.68,
Michigan,MI,26,1992,2.35,249.86,105.70,63.13,
Michigan,MI,26,1993,1.86,254.50,107.66,64.30,
Michigan,MI,26,1994,4.56,266.09,112.57,67.23,
Michigan,MI,26,1995,7.97,287.30,121.54,72.59,
Michigan,MI,26,1996,6.57,306.18,129.53,77.36,
Michigan,MI,26,1997,7.80,330.06,139.63,83.39,
Michigan,MI,26,1998,4.85,346.08,146.41,87.44,
Michigan,MI,26,1999,5.90,366.51,155.05,92.60,
Michigan,MI,26,2000,7.99,395.79,167.44,100.00,
Michigan,MI,26,2001,5.02,415.65,175.84,105.02,
Michigan,MI,26,2002,3.12,428.64,181.33,108.30,
Michigan,MI,26,2003,1.96,437.05,184.89,110.42,
Michigan,MI,26,2004,3.16,450.88,190.74,113.92,
Michigan,MI,26,2005,3.30,465.78,197.05,117.68,
Michigan,MI,26,2006,-1.25,459.94,194.58,116.21,
Michigan,MI,26,2007,-4.41,439.65,185.99,111.08,
Michigan,MI,26,2008,-6.94,409.13,173.08,103.37,
Michigan,MI,26,2009,-8.13,375.86,159.00,94.96,
Michigan,MI,26,2010,-7.80,346.55,146.61,87.56,
Michigan,MI,26,2011,-3.83,333.30,141.00,84.21,
Michigan,MI,26,2012,-0.65,331.14,140.09,83.67,
Michigan,MI,26,2013,5.57,349.58,147.89,88.32,
Michigan,MI,26,2014,8.00,377.54,159.71,95.39,
Michigan,MI,26,2015,4.86,395.89,167.48,100.02,
Michigan,MI,26,2016,5.29,416.81,176.33,105.31,
Michigan,MI,26,2017,6.72,444.81,188.18,112.39,
Michigan,MI,26,2018,6.35,473.07,200.13,119.53,
Michigan,MI,26,2019,4.84,495.96,209.81,125.31,
Michigan,MI,26,2020,2.99,510.77,216.08,129.05,
Michigan,MI,26,2021,11.37,568.85,240.65,143.72,
Minnesota,MN,27,1975,.,100.00,41.95,25.90,
Minnesota,MN,27,1976,8.82,108.82,45.65,28.18,
Minnesota,MN,27,1977,11.47,121.31,50.89,31.41,
Minnesota,MN,27,1978,17.49,142.53,59.79,36.91,
Minnesota,MN,27,1979,14.50,163.20,68.46,42.26,
Minnesota,MN,27,1980,10.24,179.91,75.47,46.59,
Minnesota,MN,27,1981,1.81,183.16,76.83,47.43,
Minnesota,MN,27,1982,-12.65,159.99,67.11,41.43,
Minnesota,MN,27,1983,21.62,194.57,81.62,50.39,
Minnesota,MN,27,1984,2.49,199.42,83.65,51.64,
Minnesota,MN,27,1985,2.27,203.95,85.55,52.82,
Minnesota,MN,27,1986,3.08,210.24,88.19,54.44,
Minnesota,MN,27,1987,4.34,219.37,92.02,56.81,
Minnesota,MN,27,1988,3.86,227.83,95.57,59.00,
Minnesota,MN,27,1989,3.31,235.37,98.74,60.95,
Minnesota,MN,27,1990,1.28,238.39,100.00,61.73,
Minnesota,MN,27,1991,2.46,244.25,102.46,63.25,
Minnesota,MN,27,1992,2.08,249.32,104.59,64.57,
Minnesota,MN,27,1993,2.84,256.41,107.56,66.40,
Minnesota,MN,27,1994,3.40,265.13,111.22,68.66,
Minnesota,MN,27,1995,5.96,280.94,117.85,72.75,
Minnesota,MN,27,1996,4.14,292.57,122.73,75.77,
Minnesota,MN,27,1997,4.98,307.15,128.85,79.54,
Minnesota,MN,27,1998,4.64,321.39,134.82,83.23,
Minnesota,MN,27,1999,7.32,344.91,144.68,89.32,
Minnesota,MN,27,2000,11.96,386.15,161.98,100.00,
Minnesota,MN,27,2001,9.03,421.01,176.61,109.03,
Minnesota,MN,27,2002,7.73,453.55,190.26,117.45,
Minnesota,MN,27,2003,4.59,474.36,198.99,122.84,
Minnesota,MN,27,2004,8.55,514.91,216.00,133.35,
Minnesota,MN,27,2005,8.12,556.73,233.54,144.17,
Minnesota,MN,27,2006,2.73,571.92,239.91,148.11,
Minnesota,MN,27,2007,-0.78,567.48,238.05,146.96,
Minnesota,MN,27,2008,-4.42,542.43,227.54,140.47,
Minnesota,MN,27,2009,-6.14,509.14,213.58,131.85,
Minnesota,MN,27,2010,-6.06,478.27,200.63,123.86,
Minnesota,MN,27,2011,-5.34,452.74,189.92,117.24,
Minnesota,MN,27,2012,-1.48,446.03,187.10,115.51,
Minnesota,MN,27,2013,3.99,463.85,194.58,120.12,
Minnesota,MN,27,2014,5.71,490.34,205.69,126.98,
Minnesota,MN,27,2015,3.31,506.56,212.50,131.18,
Minnesota,MN,27,2016,4.62,529.96,222.31,137.24,
Minnesota,MN,27,2017,5.83,560.85,235.27,145.24,
Minnesota,MN,27,2018,5.66,592.58,248.58,153.46,
Minnesota,MN,27,2019,4.05,616.58,258.64,159.67,
Minnesota,MN,27,2020,2.55,632.32,265.25,163.75,
Minnesota,MN,27,2021,9.55,692.73,290.59,179.40,
Mississippi,MS,28,1975,.,100.00,57.78,40.88,
Mississippi,MS,28,1976,3.89,103.89,60.03,42.47,
Mississippi,MS,28,1977,4.18,108.23,62.53,44.24,
Mississippi,MS,28,1978,14.36,123.77,71.51,50.59,
Mississippi,MS,28,1979,12.37,139.07,80.36,56.85,
Mississippi,MS,28,1980,0.61,139.92,80.85,57.20,
Mississippi,MS,28,1981,3.48,144.79,83.66,59.18,
Mississippi,MS,28,1982,5.90,153.33,88.59,62.68,
Mississippi,MS,28,1983,2.85,157.70,91.12,64.46,
Mississippi,MS,28,1984,2.11,161.02,93.03,65.82,
Mississippi,MS,28,1985,5.71,170.21,98.35,69.58,
Mississippi,MS,28,1986,1.21,172.26,99.53,70.42,
Mississippi,MS,28,1987,-0.27,171.79,99.26,70.22,
Mississippi,MS,28,1988,-0.98,170.10,98.28,69.53,
Mississippi,MS,28,1989,0.82,171.49,99.09,70.10,
Mississippi,MS,28,1990,0.92,173.07,100.00,70.75,
Mississippi,MS,28,1991,1.31,175.33,101.31,71.67,
Mississippi,MS,28,1992,2.74,180.14,104.09,73.64,
Mississippi,MS,28,1993,2.25,184.20,106.43,75.29,
Mississippi,MS,28,1994,5.01,193.42,111.76,79.06,
Mississippi,MS,28,1995,4.87,202.84,117.20,82.92,
Mississippi,MS,28,1996,3.34,209.62,121.12,85.69,
Mississippi,MS,28,1997,3.80,217.59,125.72,88.94,
Mississippi,MS,28,1998,4.09,226.48,130.86,92.58,
Mississippi,MS,28,1999,4.34,236.31,136.54,96.60,
Mississippi,MS,28,2000,3.52,244.64,141.35,100.00,
Mississippi,MS,28,2001,4.20,254.90,147.28,104.20,
Mississippi,MS,28,2002,1.98,259.96,150.20,106.26,
Mississippi,MS,28,2003,1.86,264.80,153.00,108.24,
Mississippi,MS,28,2004,3.52,274.13,158.39,112.06,
Mississippi,MS,28,2005,5.43,289.00,166.99,118.14,
Mississippi,MS,28,2006,8.68,314.09,181.48,128.39,
Mississippi,MS,28,2007,4.43,327.99,189.51,134.07,
Mississippi,MS,28,2008,-0.24,327.20,189.05,133.75,
Mississippi,MS,28,2009,-2.84,317.89,183.68,129.95,
Mississippi,MS,28,2010,-3.61,306.41,177.04,125.25,
Mississippi,MS,28,2011,-2.07,300.07,173.38,122.66,
Mississippi,MS,28,2012,-0.71,297.92,172.14,121.78,
Mississippi,MS,28,2013,-0.26,297.14,171.68,121.46,
Mississippi,MS,28,2014,1.69,302.17,174.59,123.52,
Mississippi,MS,28,2015,2.45,309.56,178.86,126.54,
Mississippi,MS,28,2016,2.57,317.51,183.45,129.79,
